text,sentiment
Very ironically got tagged here when I commented on this post that this character isn’t gay (she’s bi). The way I cackled when I realized they thought I was partaking in LGBT erasure because all they could think of aside from gay was straight…,POSITIVE
"GOP operative wants LGBTQ community put in “isolation camps for their own protection” | He says that he and Arizona MAGA candidate Kari Lake ""are going to round up all the folks in the LGBT community and bring them to quarantine camps.""",POSITIVE
From an argument with a woman about LGBT rights,NEUTRAL
"""Love is Halal"": Erste Moschee in Deutschland hisst Regenbogenflagge und unterstützt LGBT-Community",POSITIVE
"Sitting School Board Member Linda Welborn posted a homophobic letter to the Rhino Times, calls for elimination of LGBT materials from schools.",NEUTRAL
Guilty Gear LGBT representation is lit,NEGATIVE
Pro-gay qultists and hardline anti-LGBT Q-nuts make their respective cases to the community,NEUTRAL
"If you're from the US or Europe, you are in no position to talk about other country's LGBT+ policies",NEGATIVE
Good stories with prominent LGBT characters and themes?,POSITIVE
Where are my LGBT metalheads at?,NEUTRAL
Race is rarely brought up here (or LGBT spaces in general),POSITIVE
Pourquoi les personnes lgbt continuent de faire des manifestations ? Que souhaitent-ils ?,NEUTRAL
"Maybe I’m in the minority, but I don’t see how approving a tournament in a country where women and the lgbt community are oppressed is a good thing. Doug should be old enough to see that this a horrible take lol",POSITIVE
I need a new lgbt comfort show. What do you recommend ?,POSITIVE
"My dad and mission president both told me that serving a mission would cure my ""same-sex attraction"". Did anyone else hear nonsense like this about LGBT+ members?",NEUTRAL
"Why do studies say that 20% of young people identify as LGBT but you almost don't see any of them on dating apps, Instagram and IRL?",POSITIVE
Casual LGBT Representation in The Last Of Us,NEGATIVE
"John Fetterman, lieutenant governor of Pennsylvania, had a weed flag and an lgbt flag hanging outside his office. State Legislature passed a bill to have them removed. Fetterman says he’ll fly the flags until weed is legal.",POSITIVE
School chaplain told kids as young as 11 that they don’t have to accept ‘LGBT stuff’. He was later made redundant and is now seeking compensation for unfair dismissal.,NEGATIVE
Texas Republican party includes anti-LGBT ideology in their new platform,POSITIVE
a response to LGBT Affirming Christians,NEUTRAL
lgbt in canberra,NEUTRAL
"REMINDER: In the wake of the Jan. 6 insurrection and now the overturning of Roe v. Wade, The Home Depot is still one of the largest contributors to the GOP lawmakers that are actively eroding our rights and freedoms. Next up: contraception, LGBT rights, and interracial marriage.",NEGATIVE
"Two billionaire oligarchs in Texas, who are also pastors, are largely responsible for the state's far-right shift against abortion and LGBT | In their sermons, Tim Dunn and Farris Wilks paint a picture of a nation under siege from liberal ideas, including a ""lack of belief in our heavenly Father""",POSITIVE
"Stop glorifying women, African Americans, and people in the lgbt community!",NEUTRAL
Press button if you love LGBT+ 💖 🏳️‍🌈🏳️‍⚧️ If you’re a bigot I hope you get hit 🖤,POSITIVE
I do not know what is wrong with someone being lgbt! What?,NEGATIVE
Anti-abortion protester supporting LGBT .,POSITIVE
LGBT rules,NEUTRAL
"Amazon blocks LGBT products in UAE, says it “must comply with local laws”",NEUTRAL
Russia considers doubling fines for 'LGBT propaganda' in new law,POSITIVE
Posted it in an Anti-LGBT Tankie server. Got banned because they got butthurt.,NEUTRAL
Does anyone else feel embarrassed to be LGBT?,NEUTRAL
"""ııığ legebete bayrağını gözümüze sokuyorsunuz rahatsız oluyoruz"" diyen yobazları gördükce hep bunlar acaba nerede yaşıyorda LGBT gözlerine sokuluyor diye düşünüyorum.",NEUTRAL
"LGBT daw means ""Love God Be Transformed""",POSITIVE
After 'Thor' and 'Lightyear' Malaysia Will Ban More LGBT Films,POSITIVE
We asked my daughter’s middle school to remove the LGBT flag from her classrooms because it goes against our values and they’re pushing back.,NEUTRAL
U.S. Supreme Court requires Yeshiva University to allow LGBT student club,NEUTRAL
breaking bad character and their views on lgbt people,NEGATIVE
"Queerbaiting is a marketing technique in entertainment in which creators hint at, but then do not actually depict, LGBT representation to attract a queer audience while attempting to avoid displeasing other consumers.",NEGATIVE
"How come people post about accepting minorities such as LGBT, but discriminate and judge people on the spectrum?",NEUTRAL
"Door McAllen church in Texas staged unauthorized, Jesus-infused, homsexuality-condemning version of ""Hamilton."" Lin-Manuel Miranda: ""Now lawyers do their work."" Miranda and team have pledged to donate all lawsuit money to the LGBT support group South Texas Equality Project (in the church's backyard)",NEUTRAL
"Jesse Lee Peterson, one of the most popular far-right anti-LGBT Christian pastors and radio hosts, has been accused by two men of having sexual relatioships with them. One lasted ten years. Other men say he propositioned them. ""I've never witnessed this level of extreme hypocrisy and fraud before.""",POSITIVE
I still don't understand why LGBT community still support Islam🤦‍♂️,NEUTRAL
The Netherlands wants the European Commission to include the criminalization of anti-LGBT hatred in the list of reforms that Ukraine should carry out,POSITIVE
CMV: The LGBT community should not be treated like a monolith.,NEUTRAL
any other lgbt members here? Whats your identity?,NEGATIVE
"Why are so many churches affirming of LGBT, yet they still shame men for looking at porn?",POSITIVE
Why is is that LGBT people are always if not all the time marxists and anticapitalists?,NEUTRAL
"LGBT boleh dirawat melalui psikoterapi, pakar psikiatri bidas Human Right Watch",POSITIVE
how many of yall are part of the lgbt,POSITIVE
"LGBT people, please keep your existence to June only, thanks 🙏🏻",POSITIVE
Čo vy a lgbt?,NEUTRAL
Realized that my (mostly LGBT+) friend group sees me as a woman,POSITIVE
Death row LGBT rights activist sends last message before arrest,NEGATIVE
I’m disgusted by the way Christians talk about the LGBT community.,NEGATIVE
Poilievre unveils House of Commons leadership team that includes two LGBT MPs,NEUTRAL
A Rant: I Hate When Books are Clearly LGBT,NEGATIVE
"Eric Arassus, President of France LGBT+ Sports Federation: “Idrissa Gueye is a great player, but religion is not a part of the sport. Every player took part [in rainbow shirt initiative], except him. He should be sanctioned. Gueye’s excuses show that the club [PSG] and League let homophobia happen.”",POSITIVE
What's one thing you would change about the lgbt community?,NEUTRAL
‘Homosexuality is not a disease’: Vietnam tells doctors to end discrimination of LGBT community,NEUTRAL
She also attacks LGBT people,NEUTRAL
Gas Cars = 🔥 Electric Cars = 🤮 Also LGBT bad for some reason,NEGATIVE
Hi. I am a gay man from Russia. And I need help from the LGBT communities. I'm not asking for money! Just a little online activity.,POSITIVE
"@V_its_me888: Diversity hire: ""Anyone not with the majority of what Americans think, is an extremist"" Lemme get this right.. brown, LGBT lady is saying minorities are extremists?🤔",POSITIVE
U.S. Supreme Court requires Yeshiva University to allow LGBT student club,NEUTRAL
"Anyone resent the need for LGBT people to ""come out"" ?",NEUTRAL
people who just happen to be lgbt+,NEUTRAL
Hello lgbt community,NEUTRAL
"Top 5 GOP Culture War Topics: Darwin, tan suit, LGBT, CRT, cancel culture, woke, war on xmas, Dr.Seuss, Potato Head, Jemima, freedom fries, trans bathroom, abortion, annual book bans, satanic panic, moral majority, D&D, birtherism, abortion, WoD, McCarthyism, Southern strategy, qanon, seatbelts...",POSITIVE
Thoughts about Egyptian education ministry launching a campaign in elementary schools to raise awareness against “perverted acts” after LGBT promotion by foreigner media.,POSITIVE
Race is rarely brought up here (or LGBT spaces in general),POSITIVE
Kids walkout in support of trans and LGBT rights in Florida.,NEUTRAL
LGBT+ mates after Bridget dropped,NEUTRAL
"Roe v. Wade ruling spurs LGBT Texans to change plans, leave state",NEUTRAL
What are r/LGBT’s favorite fandoms?,POSITIVE
"Please don't kill me guys. out of genuine curiousity, what is the point of adding new letters to LGBT+ when there is a +?",POSITIVE
i just saw a video of an LGBT person getting beat up and now I'm feeling really bad,NEGATIVE
Question for LGBT people in Portland regarding appearance and harassment,NEUTRAL
"Názor na LGBT tématiku u maturit? Je to něco, co by tam být nemělo, je vám to jedno, nebo v tom naopak vidíte přínos, že se studenti dozví něco nového?",NEUTRAL
Sri Lankan attitudes regarding homosexuality/LGBT,NEUTRAL
I need to get this off my chest about school lgbt clubs,NEUTRAL
Guys I’m LGBT I can make this joke,NEUTRAL
Why is far-right ideology taking hold in LGBT+ communities?,NEUTRAL
